Category_ID,TransactionType_ID,Category_ParentID,Category_Name,Category_Common,Category_OrderNo,Category_IsDefault,Icon_ID,Category_IsDelete,Category_UploadStatus,Category_CreateTime,Category_UploadTime
1,1,0,Expense,0,0,0,1,0,0,1982-11-09T13:32:18,1982-11-09T13:32:18
2,2,0,Income,0,0,0,1,0,0,1982-11-09T13:32:18,1982-11-09T13:32:18
3,3,0,Transfer,0,0,0,1,0,0,1982-11-09T13:32:18,1982-11-09T13:32:18
4,4,0,Debit & Credit,0,0,0,1,0,0,1982-11-09T13:32:18,1982-11-09T13:32:18
5,3,3,Account Transfer,1,0,0,1,0,0,1982-11-09T13:32:18,1982-11-09T13:32:18
6,3,3,Credit Card Payment,1,0,0,1,0,0,1982-11-09T13:32:18,1982-11-09T13:32:18
7,3,3,Deposit,1,0,0,1,0,0,1982-11-09T13:32:18,1982-11-09T13:32:18
8,3,3,Withdraw,1,0,0,1,0,0,1982-11-09T13:32:18,1982-11-09T13:32:18
9,4,4,Borrow,1,0,0,1,0,0,1982-11-09T13:32:18,1982-11-09T13:32:18
10,4,4,Lend,1,0,0,1,0,0,1982-11-09T13:32:18,1982-11-09T13:32:18
11,4,4,Payment,1,0,0,1,0,0,1982-11-09T13:32:18,1982-11-09T13:32:18
12,4,4,Receive payment,1,0,0,1,0,0,1982-11-09T13:32:18,1982-11-09T13:32:18
13,2,2,Salary,1,0,0,1,0,0,1982-11-09T13:32:18,1982-11-09T13:32:18
14,2,2,???,0,0,0,1,0,0,1982-11-09T13:32:18,1982-11-09T13:32:18
15,2,2,Rental Income,0,0,0,1,0,0,1982-11-09T13:32:18,1982-11-09T13:32:18
16,2,2,Cash Back,1,0,0,1,0,0,1982-11-09T13:32:18,1982-11-09T13:32:18
17,2,2,Refund,1,0,0,1,0,0,1982-11-09T13:32:18,1982-11-09T13:32:18
18,2,2,Benefit,0,0,0,1,0,0,1982-11-09T13:32:18,1982-11-09T13:32:18
19,2,2,SSI,0,0,0,1,0,0,1982-11-09T13:32:18,1982-11-09T13:32:18
20,2,2,Investment,0,0,0,1,0,0,1982-11-09T13:32:18,1982-11-09T13:32:18
21,2,2,Tip,1,0,0,1,0,0,1982-11-09T13:32:18,1982-11-09T13:32:18
22,2,2,Interest,0,0,0,1,0,0,1982-11-09T13:32:18,1982-11-09T13:32:18
23,2,2,Bonus,0,0,0,1,0,0,1982-11-09T13:32:18,1982-11-09T13:32:18
24,2,2,Dividend,0,0,0,1,0,0,1982-11-09T13:32:18,1982-11-09T13:32:18
25,2,2,Side Job,1,0,0,1,0,0,1982-11-09T13:32:18,1982-11-09T13:32:18
26,2,2,Pension,0,0,0,1,0,0,1982-11-09T13:32:18,1982-11-09T13:32:18
27,1,0,Food,0,0,0,1,0,0,2023-03-30T00:44:48,2023-03-30T00:44:48
28,1,27,??,1,0,0,1,0,0,2023-03-30T00:44:57,2023-03-30T00:44:57
29,1,27,??,1,0,0,1,0,0,2023-03-30T00:45:02,2023-03-30T00:45:02
30,1,27,????,1,0,0,1,0,0,2023-03-30T00:45:10,2023-03-30T00:45:10
31,1,0,??,0,0,0,1,0,0,2023-03-31T22:58:02,2023-03-31T22:58:02
32,1,31,??,1,0,0,1,0,0,2023-03-31T22:58:23,2023-03-31T22:58:23
33,1,27,??,1,0,0,1,0,0,2023-03-31T22:58:39,2023-03-31T22:58:39
34,1,27,??,1,0,0,1,0,0,2023-04-03T14:30:13,2023-04-03T14:30:13
35,1,31,????,1,0,0,1,0,0,2023-04-03T14:38:03,2023-04-03T14:38:03
36,1,0,??,0,0,0,1,0,0,2023-04-03T19:12:03,2023-04-03T19:12:03
37,1,36,??,1,0,0,1,0,0,2023-04-03T19:12:11,2023-04-03T19:12:11
38,1,0,??,0,0,0,1,0,0,2023-04-06T09:27:28,2023-04-06T09:27:28
39,1,38,??,1,0,0,1,0,0,2023-04-06T09:27:40,2023-04-06T09:27:40
40,1,0,??,0,0,0,1,0,0,2023-04-07T00:33:04,2023-04-07T00:33:04
41,1,40,???,0,0,0,1,0,0,2023-04-07T00:33:13,2023-04-07T00:33:13
42,1,27,??,1,0,0,1,0,0,2023-04-10T11:50:56,2023-04-10T11:50:56
43,1,31,??,1,0,0,1,0,0,2023-04-17T23:10,2023-04-17T23:10
44,1,0,??,0,0,0,1,0,0,2023-04-19T18:41:04,2023-04-19T18:41:04
45,1,44,???,0,0,0,1,0,0,2023-04-19T18:41:15,2023-04-19T18:41:15
46,1,0,??,0,0,0,1,0,0,2023-04-20T21:08:54,2023-04-20T21:08:54
47,1,46,????,1,0,0,1,0,0,2023-04-20T21:09:02,2023-04-20T21:09:02
48,1,46,????,1,0,0,1,0,0,2023-04-20T21:09:28,2023-04-20T21:09:28
50,1,46,??,0,0,0,1,0,0,2023-04-20T21:11:52,2023-04-20T21:11:52
51,1,0,??,0,0,0,1,0,0,2023-04-20T21:12:10,2023-04-20T21:12:10
52,1,51,????,0,0,0,1,0,0,2023-04-20T21:12:32,2023-04-20T21:12:32
53,1,51,?,0,0,0,1,0,0,2023-04-20T21:12:40,2023-04-20T21:12:40
54,1,40,????,0,0,0,1,0,0,2023-04-20T21:13:01,2023-04-20T21:13:01
55,1,51,??,0,0,0,1,0,0,2023-04-20T21:13:12,2023-04-20T21:13:12
56,1,51,??,1,0,0,1,0,0,2023-04-20T21:13:21,2023-04-20T21:13:21
57,1,36,??,0,0,0,1,0,0,2023-04-20T21:13:35,2023-04-20T21:13:35
58,1,31,??,0,0,0,1,0,0,2023-04-20T21:14:22,2023-04-20T21:14:22
59,1,31,??,1,0,0,1,0,0,2023-04-20T21:14:27,2023-04-20T21:14:27
60,1,51,??,0,0,0,1,0,0,2023-04-20T21:14:44,2023-04-20T21:14:44
61,1,40,??,0,0,0,1,0,0,2023-04-20T21:14:58,2023-04-20T21:14:58
62,1,0,??,0,0,0,1,0,0,2023-04-20T21:15:28,2023-04-20T21:15:28
63,1,62,??,0,0,0,1,0,0,2023-04-20T21:15:41,2023-04-20T21:15:41
64,1,62,??,0,0,0,1,0,0,2023-04-20T21:15:46,2023-04-20T21:15:46
65,1,51,??,0,0,0,1,0,0,2023-04-20T21:37:19,2023-04-20T21:37:19
66,2,2,??,0,0,0,1,0,0,2023-04-20T22:18:02,2023-04-20T22:18:02
67,2,2,???,0,0,0,1,0,0,2023-04-20T23:42:11,2023-04-20T23:42:11
68,2,2,??,0,0,0,1,0,0,2023-04-20T23:54:51,2023-04-20T23:54:51
69,2,2,??,0,0,0,1,0,0,2023-04-21T00:02:52,2023-04-21T00:02:52
